,Unnamed: 0,text,embeddings,distances
0,0,"A  hedgehog  is a spiny mammal of the subfamily Erinaceinae, in the eulipotyphlan family Erinaceidae. There are 17 species of hedgehog in five genera found throughout parts of Europe, Asia, and Africa, and in New Zealand by introduction. There are no hedgehogs native to Australia and no living species native to the Americas. However, the extinct genus Amphechinus was once present in North America.","[ 0.00173882  0.00553422 -0.02343979 ... -0.02628833  0.02005475
 -0.02103833]",0.16854318899234
1,1,"Hedgehogs share distant ancestry with shrews (family Soricidae), with gymnures possibly being the intermediate link, and they have changed little over the last 15 million years. Like many of the first mammals, they have adapted to a nocturnal way of life. Their spiny protection resembles that of porcupines, which are rodents, and echidnas, a type of monotreme.","[ 0.02269172 -0.0044761  -0.0128026  ... -0.00312364  0.00602909
 -0.01185925]",0.1746035060058475
2,2,"The name hedgehog came into use around the year 1450, derived from the Middle English heyghoge, from heyg, hegge 'hedge', because it frequents hedgerows, and hoge, hogge 'hog', from its piglike snout. Other names that are used are urchin and hedgepig.","[ 1.10273771e-02 -7.04752514e-03  4.78581944e-03 ... -1.22831864e-02
  2.35292371e-02  6.34054668e-05]",0.19172680025523736
3,3,"Hedgehogs are easily recognized by their spines, which are hollow hairs made stiff with keratin. Their spines are not poisonous or barbed and, unlike the quills of a porcupine, do not easily detach from their bodies. However, the immature animal's spines normally fall out as they are replaced with adult spines. This is called ""quilling"". Spines can also shed when the animal is diseased or under extreme stress. Hedgehogs are usually brown, with pale tips to the spines, though blonde hedgehogs are found on the Channel Island of Alderney.","[ 0.00517697  0.01242862 -0.00961901 ... -0.01093277  0.00684842
 -0.00441603]",0.15755421771546785
4,4,"Hedgehogs roll into a tight spiny ball when threatened, tucking in the furry face, feet, and belly. The hedgehog's back contains two large muscles that direct the quills. Some light-weight desert hedgehog species with fewer spines are more likely to flee or attack, ramming an intruder with the spines, rolling up only as a last resort.","[-0.01275446  0.0059821   0.00601125 ... -0.01984748  0.0168289
 -0.00582016]",0.1786977962123546
5,5,"Hedgehogs are primarily nocturnal, with some species also active during the day. Hedgehogs sleep for a large portion of the day under bushes, grasses, rocks, or most commonly in dens dug underground. All wild hedgehogs can hibernate, though the duration depends on  temperature, species, and abundance of food.","[ 0.0232083   0.01066772  0.00103529 ... -0.00537499  0.02551141
 -0.00909224]",0.19208958575856128
6,6,"Hedgehogs are fairly vocal, with a variety of grunts, snuffles and/or squeals.","[ 0.00398729 -0.00100399 -0.01208618 ... -0.01575792  0.03817089
 -0.02911901]",0.16175066222832268
7,7,"They occasionally perform a ritual called anointing. When the animal encounters a new scent, it will lick and bite the source, then form a scented froth in its mouth and paste it on its spines with its tongue. Some experts believe this might serve to camouflage the hedgehog with the local scent, and might also lead to infection of predators poked by the spines. Anointing is sometimes also called anting after a similar behavior in birds.","[ 0.01327911  0.01336398 -0.00265713 ... -0.00371149  0.02493913
 -0.00086259]",0.17217609555985303
8,8,"Like opossums, mice, and moles, hedgehogs have some natural immunity against some snake venom through the protein erinacin in their muscles, though in such small amounts that a viper bite may still be fatal. In addition, hedgehogs are one of four known mammalian groups with natural protection against another snake venom, α-neurotoxin. Developing independently, pigs, honey badgers, mongooses, and hedgehogs all have mutations in the nicotinic acetylcholine receptor that prevent the binding of the snake venom α-neurotoxin.","[-0.0101289  -0.0034683  -0.0138599  ... -0.02704144  0.01284236
  0.00372768]",0.16035013634943363
9,9,"The sense of smell has been little studied in the hedgehog, as the olfactory part of the mammal brain is obscured inside the neopallium. Tests have suggested that hedgehogs share the same olfactory electrical activity as cats.","[ 0.01496064 -0.00112909  0.00321122 ...  0.01564921  0.00736139
 -0.00684809]",0.1862947477474446
10,10,"Although traditionally classified in the abandoned order Insectivora, hedgehogs are omnivorous. They feed on insects, snails, frogs and toads, snakes, bird eggs, carrion, mushrooms, grass roots, berries, and melons. Afghan hedgehogs devour berries in early spring after hibernation. Hedgehogs have been observed eating cat food left outdoors for pets.","[ 0.02063604 -0.01000321 -0.03245744 ... -0.0176293   0.01341471
  0.00887247]",0.16562795938540897
11,11,"When a hedgehog hibernates, its normal 30–35 °C (86–95 °F) body temperature  decreases to 2–5 °C (36–41 °F).","[ 0.0181503   0.00082029 -0.00443681 ...  0.0051831   0.01852817
  0.00799822]",0.181373540632229
12,12,"Hedgehog gestation lasts 35–58 days, depending on species. The average litter is three to four newborns for larger species and five to six for smaller ones. As with many animals, it is not unusual for an adult male hedgehog to kill newborn males.","[ 0.03125893  0.00784622 -0.00958422 ... -0.00526755  0.03765681
 -0.01353882]",0.19328116047589938
13,13,"Hedgehogs have a relatively long lifespan for their size. In captivity, lack of predators and controlled diet contribute to a lifespan of eight to ten years depending on size. In the wild, larger species live four to seven years (some recorded up to 16 years), and smaller species live two to four years (four to seven in captivity). This compares to a mouse at two years and a large rat at three to five years.","[ 0.01745288 -0.00931666  0.00035124 ... -0.01172833  0.02353282
 -0.00703827]",0.1901590401856863
14,14,"Newborn hoglets are blind, with their quills covered by a protective membrane which dries and shrinks over several hours, and falls off after cleaning, allowing the quills to emerge.","[-0.0062033  -0.01307276 -0.01352127 ... -0.00538542  0.01103468
  0.02373148]",0.2239166641518684
