,Unnamed: 0,text,embeddings,distances
0,0,"A  hedgehog  is a spiny mammal of the subfamily Erinaceinae, in the eulipotyphlan family Erinaceidae. There are 17 species of hedgehog in five genera found throughout parts of Europe, Asia, and Africa, and in New Zealand by introduction. There are no hedgehogs native to Australia and no living species native to the Americas. However, the extinct genus Amphechinus was once present in North America.","[ 0.00166384  0.00559191 -0.02345343 ... -0.02628931  0.02002995
 -0.02105189]",0.16861484844454266
1,1,"Hedgehogs share distant ancestry with shrews (family Soricidae), with gymnures possibly being the intermediate link, and they have changed little over the last 15 million years. Like many of the first mammals, they have adapted to a nocturnal way of life. Their spiny protection resembles that of porcupines, which are rodents, and echidnas, a type of monotreme.","[ 0.02259638 -0.00435686 -0.01331549 ... -0.00313552  0.00600357
 -0.01136908]",0.1739161749336109
2,2,"The name hedgehog came into use around the year 1450, derived from the Middle English heyghoge, from heyg, hegge 'hedge', because it frequents hedgerows, and hoge, hogge 'hog', from its piglike snout. Other names that are used are urchin and hedgepig.","[ 1.10679762e-02 -7.01825926e-03  4.79029026e-03 ... -1.21741490e-02
  2.34108623e-02 -4.11104083e-05]",0.19171907466788107
3,3,"Hedgehogs are easily recognized by their spines, which are hollow hairs made stiff with keratin. Their spines are not poisonous or barbed and, unlike the quills of a porcupine, do not easily detach from their bodies. However, the immature animal's spines normally fall out as they are replaced with adult spines. This is called ""quilling"". Spines can also shed when the animal is diseased or under extreme stress. Hedgehogs are usually brown, with pale tips to the spines, though blonde hedgehogs are found on the Channel Island of Alderney.","[ 0.00518654  0.0124542  -0.00962518 ... -0.01088686  0.00686119
 -0.00443864]",0.1574903422987487
4,4,"Hedgehogs roll into a tight spiny ball when threatened, tucking in the furry face, feet, and belly. The hedgehog's back contains two large muscles that direct the quills. Some light-weight desert hedgehog species with fewer spines are more likely to flee or attack, ramming an intruder with the spines, rolling up only as a last resort.","[-0.0126857   0.00610649  0.00604173 ... -0.01994485  0.01687541
 -0.00588632]",0.1784299212922359
5,5,"Hedgehogs are primarily nocturnal, with some species also active during the day. Hedgehogs sleep for a large portion of the day under bushes, grasses, rocks, or most commonly in dens dug underground. All wild hedgehogs can hibernate, though the duration depends on  temperature, species, and abundance of food.","[ 0.02331606  0.01058268  0.00102079 ... -0.00511422  0.02523903
 -0.00932389]",0.19234324604460085
6,6,"Hedgehogs are fairly vocal, with a variety of grunts, snuffles and/or squeals.","[ 0.0040018  -0.00092159 -0.01209461 ... -0.01576505  0.03815728
 -0.02910863]",0.16162075790256458
7,7,"They occasionally perform a ritual called anointing. When the animal encounters a new scent, it will lick and bite the source, then form a scented froth in its mouth and paste it on its spines with its tongue. Some experts believe this might serve to camouflage the hedgehog with the local scent, and might also lead to infection of predators poked by the spines. Anointing is sometimes also called anting after a similar behavior in birds.","[ 0.01335677  0.0133633  -0.00264067 ... -0.00373089  0.02502925
 -0.00090906]",0.17211937227061413
8,8,"Like opossums, mice, and moles, hedgehogs have some natural immunity against some snake venom through the protein erinacin in their muscles, though in such small amounts that a viper bite may still be fatal. In addition, hedgehogs are one of four known mammalian groups with natural protection against another snake venom, α-neurotoxin. Developing independently, pigs, honey badgers, mongooses, and hedgehogs all have mutations in the nicotinic acetylcholine receptor that prevent the binding of the snake venom α-neurotoxin.","[-0.01020991 -0.00330076 -0.0137019  ... -0.02685839  0.01269089
  0.00363499]",0.16047365009077952
9,9,"The sense of smell has been little studied in the hedgehog, as the olfactory part of the mammal brain is obscured inside the neopallium. Tests have suggested that hedgehogs share the same olfactory electrical activity as cats.","[ 0.01492779 -0.00105509  0.00324354 ...  0.01557901  0.00740754
 -0.0068753 ]",0.18628733509483342
10,10,"Although traditionally classified in the abandoned order Insectivora, hedgehogs are omnivorous. They feed on insects, snails, frogs and toads, snakes, bird eggs, carrion, mushrooms, grass roots, berries, and melons. Afghan hedgehogs devour berries in early spring after hibernation. Hedgehogs have been observed eating cat food left outdoors for pets.","[ 0.02069382 -0.00985236 -0.03234452 ... -0.01763663  0.01335914
  0.00879262]",0.1654950795629242
11,11,"When a hedgehog hibernates, its normal 30–35 °C (86–95 °F) body temperature  decreases to 2–5 °C (36–41 °F).","[ 0.01815215  0.00084242 -0.00443726 ...  0.00519938  0.01854266
  0.00798644]",0.18132424379819734
12,12,"Hedgehog gestation lasts 35–58 days, depending on species. The average litter is three to four newborns for larger species and five to six for smaller ones. As with many animals, it is not unusual for an adult male hedgehog to kill newborn males.","[ 0.03164563  0.00801219 -0.00933496 ... -0.00612882  0.03708787
 -0.0136182 ]",0.19372321735319264
13,13,"Hedgehogs have a relatively long lifespan for their size. In captivity, lack of predators and controlled diet contribute to a lifespan of eight to ten years depending on size. In the wild, larger species live four to seven years (some recorded up to 16 years), and smaller species live two to four years (four to seven in captivity). This compares to a mouse at two years and a large rat at three to five years.","[ 0.01742654 -0.00929077  0.00029351 ... -0.01174673  0.0236077
 -0.00705692]",0.19013650658079206
14,14,"Newborn hoglets are blind, with their quills covered by a protective membrane which dries and shrinks over several hours, and falls off after cleaning, allowing the quills to emerge.","[-0.00624261 -0.01310518 -0.01371856 ... -0.00536211  0.01111335
  0.02366452]",0.22378777847486808
15,15,"The various species have many predators: while forest hedgehogs are prey primarily to birds (especially owls) and ferrets, smaller species like the long-eared hedgehog are prey to foxes, wolves, and mongooses. Hedgehog bones have been found in the pellets of the Eurasian eagle owl.","[ 0.01609841  0.00932216 -0.01046654 ... -0.00962433  0.00988149
  0.00390566]",0.16819990830611864
16,16,"In Britain, a predator in intensively farmed areas is the European badger with populations lower in areas with many badgers. Some hedgehog rescue societies will not release hedgehogs into known badger territories. Badgers also compete with hedgehogs for food.","[ 0.01986734 -0.01792436 -0.0076497  ...  0.00810649 -0.01311836
  0.0031284 ]",0.18383408906196885
17,17,"The most common pet species of hedgehog are hybrids of the white-bellied hedgehog or four-toed hedgehog (Atelerix albiventris, sometimes known as the African pygmy hedgehog) and the smaller North African hedgehog (A. algirus, pygmy hedgehog). Other species kept as pets are the long-eared hedgehog (Hemiechinus auritus) and the Indian long-eared hedgehog (H. collaris).","[ 0.01246365 -0.00184872 -0.02295362 ... -0.0166481   0.0103554
 -0.00291086]",0.17537478519005456
