,text
0,"2024 2 January – The Japan Meteorological Agency (JMA) publishes its JRA-55 dataset, confirming 2023 as the warmest year on record globally, at 1.43 °C (2.57 °F) above the 1850–1900 baseline. This is 0.14 °C (0.25 °F) above the previous record set in 2016."
1,2024 3 January – The first functional semiconductor made from graphene is created.
2,"2024 4 January – A review indicates digital rectal examination (DRE) is an outdated routine medical practice, with a lower cancer detection rate compared to prostate-specific antigen (PSA) testing and no benefit from combining DRE and PSA."
3,"2024 5 January – Scientists report that newborn galaxies in the very early universe were ""banana""-shaped, much to the surprise of researchers."
4,2024 5 January – An analysis of sugar-sweetened beverage (SSB) taxes concludes scaling them could yield substantial public health benefits.
5,"2024 9 January – Scientists report studies that seem to support the hypothesis that life may have begun in a shallow lake rather than otherwise – perhaps somewhat like a ""warm little pond"" originally proposed by Charles Darwin."
6,"2024 9 January – A group of scientists from around the globe have charted paradigm-shifting restorative pathways to mitigate the worst effects of climate change and biodiversity loss with a strong emphasis on environmental sustainability, human wellbeing and reducing social and economic inequality."
7,"2024 9 January – Researchers have discovered a new phase of matter, named a ""light-matter hybrid"", which may reshape understanding of how light interacts with matter."
8,"2024 9 January – A study of proteins in cerebrospinal fluid indicates there are five subtypes of Alzheimer's disease, suggesting it to be likely that subtype-specific treatments are required."
9,2024 9 January – A study finds seaweed farming could be set up as a resilient food solution within roughly a year in abrupt sunlight reduction scenarios such as after a nuclear war or a large volcano eruption.
10,2024 10 January – Chemists report studies finding that long-chain fatty acids were produced in ancient hydrothermal vents. Such fatty acids may have contributed to the formation of the first cell membranes that are fundamental to protocells and the origin of life.
11,"2024 10 January – Scientists report the extinction of Gigantopithecus blacki, the largest primate to ever inhabit the Earth, that lived between 2 million and 350,000 years ago, was largely due to the inability of the ape to adapt to a diet better suited to a significantly changed environment."
12,"2024 11 January – Biologists report the discovery of the oldest known skin, fossilized about 289 million years ago, and possibly the skin from an ancient reptile."
13,"2024 11 January – Scientists report the discovery of Tyrannosaurus mcraeensis, an older species of Tyrannosaurus that lived 5-7 million years before Tyrannosaurus rex, and which may be fundamentally important to the evolution of the species."
14,"2024 11 January – A study of the Caatinga region in Brazil finds that its semi-arid biome could lose over 90% of mammal species by 2060, even in a best-case scenario of climate change."
15,"2024 11 January – A graphene-based implant on the surface of mouse brains, in combination with a two-photon microscope, is shown to capture high-resolution information on neural activity at depths of 250 micrometers."
16,"2024 11 January – A review of genetic data from 21 studies with nearly one million participants finds more than 50 new genetic loci and 205 novel genes associated with depression, opening potential targets for drugs to treat depression."
17,"2024 11 January – The Upano Valley sites are reported as the oldest Amazonian cities built over 2500 years ago, with a unique ""garden urbanism"" city design."
18,"2024 11 January – A study presents results of a Riyadh-based trial of eight urban heat mitigation scenarios, finding large cooling effects with combinations that include reflective rooftop materials, irrigated greenery, and retrofitting."
19,2024 12 January – Global warming: 2023 is confirmed as the hottest year on record by several science agencies.
20,"2024 12 January – NASA reports a figure of 1.4 degrees Celsius above the late 19th century average, when modern record-keeping began."
21,2024 12 January – NOAA reports a figure of 1.35 degrees Celsius.
22,2024 12 January – Berkeley Earth reports a figure of 1.54 degrees Celsius.
23,2024 12 January – An AI-based study shows for the first time that fingerprints from different fingers of the same person share strong detectable similarities.
24,"2024 13 January – NASA fully opens the recovered container with samples from the Bennu asteroid, after three months of failed attempts."
25,2024 16 January – The first successful cloning of a rhesus monkey is reported by scientists in China.
26,"2024 17 January – A study in Nature finds that the Greenland ice sheet is melting 20% faster than previously estimated, due to the effects of calving-front retreat. The loss of 30m tonnes of ice an hour is ""sufficient to affect ocean circulation and the distribution of heat energy around the globe."""
27,"2024 18 January – NASA reports the end of the Ingenuity helicopter's operation, after 72 successful flights on Mars, due to a broken rotor blade."
